geo;time;unit;values
Albania;2018-01-01;Number;161
Albania;2021-01-01;Number;210
Austria;2018-01-01;Number;562
Austria;2021-01-01;Number;572
Belgium;2018-01-01;Number;511
Belgium;2021-01-01;Number;510
Bosnia and Herzegovina;2018-01-01;Number;240
Bosnia and Herzegovina;2021-01-01;Number;256
Bulgaria;2018-01-01;Number;396
Bulgaria;2021-01-01;Number;414
Croatia;2018-01-01;Number;409
Croatia;2021-01-01;Number;465
Cyprus;2018-01-01;Number;629
Cyprus;2021-01-01;Number;655
Czechia;2018-01-01;Number;540
Czechia;2021-01-01;Number;579
Denmark;2018-01-01;Number;447
Denmark;2021-01-01;Number;475
Estonia;2018-01-01;Number;563
Estonia;2021-01-01;Number;620
Finland;2018-01-01;Number;629
Finland;2021-01-01;Number;656
France;2018-01-01;Number;569
France;2021-01-01;Number;571
Germany;2018-01-01;Number;567
Germany;2021-01-01;Number;583
Greece;2018-01-01;Number;493
Greece;2021-01-01;Number;536
Hungary;2018-01-01;Number;373
Hungary;2021-01-01;Number;415
Iceland;2018-01-01;Number;749
Iceland;2021-01-01;Number;768
Ireland;2018-01-01;Number;445
Ireland;2021-01-01;Number;456
Italy;2018-01-01;Number;652
Italy;2021-01-01;Number;675
Kosovo;2018-01-01;Number;143
Kosovo;2021-01-01;Number;181
Latvia;2018-01-01;Number;369
Latvia;2021-01-01;Number;404
Liechtenstein;2018-01-01;Number;780
Liechtenstein;2021-01-01;Number;777
Lithuania;2018-01-01;Number;512
Lithuania;2021-01-01;Number;574
Luxembourg;2018-01-01;Number;676
Luxembourg;2021-01-01;Number;681
Malta;2018-01-01;Number;608
Malta;2021-01-01;Number;601
Montenegro;2018-01-01;Number;332
Montenegro;2021-01-01;Number;358
Netherlands;2018-01-01;Number;489
Netherlands;2021-01-01;Number;502
North Macedonia;2018-01-01;Number;200
North Macedonia;2021-01-01;Number;260
Norway;2018-01-01;Number;516
Norway;2021-01-01;Number;554
Poland;2018-01-01;Number;617
Poland;2021-01-01;Number;687
Portugal;2018-01-01;Number;514
Portugal;2021-01-01;Number;544
Romania;2018-01-01;Number;332
Romania;2021-01-01;Number;400
Slovakia;2018-01-01;Number;426
Slovakia;2021-01-01;Number;459
Slovenia;2018-01-01;Number;549
Slovenia;2021-01-01;Number;564
Spain;2018-01-01;Number;513
Spain;2021-01-01;Number;525
Sweden;2018-01-01;Number;476
Sweden;2021-01-01;Number;477
Switzerland;2018-01-01;Number;546
Switzerland;2021-01-01;Number;546
Türkiye;2018-01-01;Number;151
Türkiye;2021-01-01;Number;163
United Kingdom;2018-01-01;Number;473
United Kingdom;2021-01-01;Number;476
