geo;TIME_PERIOD;freq;unit;values
Albania;2018-01-01;Annual;Number;161
Albania;2023-01-01;Annual;Number;253
Austria;2018-01-01;Annual;Number;562
Austria;2023-01-01;Annual;Number;566
Belgium;2018-01-01;Annual;Number;511
Belgium;2023-01-01;Annual;Number;511
Bosnia and Herzegovina;2018-01-01;Annual;Number;263
Bosnia and Herzegovina;2023-01-01;Annual;Number;306
Bulgaria;2018-01-01;Annual;Number;396
Bulgaria;2023-01-01;Annual;Number;466
Croatia;2018-01-01;Annual;Number;409
Croatia;2023-01-01;Annual;Number;495
Cyprus;2018-01-01;Annual;Number;629
Cyprus;2023-01-01;Annual;Number;665
Czechia;2018-01-01;Annual;Number;540
Czechia;2023-01-01;Annual;Number;597
Denmark;2018-01-01;Annual;Number;447
Denmark;2023-01-01;Annual;Number;474
Estonia;2018-01-01;Annual;Number;563
Estonia;2023-01-01;Annual;Number;630
Finland;2018-01-01;Annual;Number;629
Finland;2023-01-01;Annual;Number;664
France;2018-01-01;Annual;Number;568
France;2023-01-01;Annual;Number;578
Georgia;2018-01-01;Annual;Number;292
Georgia;2023-01-01;Annual;Number;385
Germany;2018-01-01;Annual;Number;567
Germany;2023-01-01;Annual;Number;588
Greece;2018-01-01;Annual;Number;493
Greece;2023-01-01;Annual;Number;565
Hungary;2018-01-01;Annual;Number;373
Hungary;2023-01-01;Annual;Number;435
Iceland;2018-01-01;Annual;Number;749
Iceland;2023-01-01;Annual;Number;642
Ireland;2018-01-01;Annual;Number;445
Ireland;2023-01-01;Annual;Number;453
Italy;2018-01-01;Annual;Number;652
Italy;2023-01-01;Annual;Number;694
Kosovo*;2018-01-01;Annual;Number;143
Kosovo*;2023-01-01;Annual;Number;205
Latvia;2018-01-01;Annual;Number;369
Latvia;2023-01-01;Annual;Number;418
Liechtenstein;2018-01-01;Annual;Number;780
Liechtenstein;2023-01-01;Annual;Number;774
Lithuania;2018-01-01;Annual;Number;512
Lithuania;2023-01-01;Annual;Number;589
Luxembourg;2018-01-01;Annual;Number;676
Luxembourg;2023-01-01;Annual;Number;675
Malta;2018-01-01;Annual;Number;608
Malta;2023-01-01;Annual;Number;575
Moldova;2018-01-01;Annual;Number;230
Moldova;2023-01-01;Annual;Number;325
Montenegro;2018-01-01;Annual;Number;332
Montenegro;2023-01-01;Annual;Number;393
Netherlands;2018-01-01;Annual;Number;489
Netherlands;2023-01-01;Annual;Number;498
North Macedonia;2018-01-01;Annual;Number;200
North Macedonia;2023-01-01;NA;NA;NA
Norway;2018-01-01;Annual;Number;516
Norway;2023-01-01;Annual;Number;520
Poland;2018-01-01;Annual;Number;524
Poland;2023-01-01;Annual;Number;601
Portugal;2018-01-01;Annual;Number;514
Portugal;2023-01-01;Annual;Number;558
Romania;2018-01-01;Annual;Number;332
Romania;2023-01-01;Annual;Number;425
Serbia;2018-01-01;Annual;Number;287
Serbia;2023-01-01;Annual;Number;362
Slovakia;2018-01-01;Annual;Number;426
Slovakia;2023-01-01;Annual;Number;487
Slovenia;2018-01-01;Annual;Number;549
Slovenia;2023-01-01;Annual;Number;579
Spain;2018-01-01;Annual;Number;539
Spain;2023-01-01;Annual;Number;551
Sweden;2018-01-01;Annual;Number;476
Sweden;2023-01-01;Annual;Number;472
Switzerland;2018-01-01;Annual;Number;546
Switzerland;2023-01-01;Annual;Number;543
Türkiye;2018-01-01;Annual;Number;151
Türkiye;2023-01-01;Annual;Number;178
United Kingdom;2018-01-01;Annual;Number;473
United Kingdom;2023-01-01;NA;NA;NA
